,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,latitude,longitude,elevation,easting,northing,utm zone,rotation angle,station id,survey,include,file
0,0,12,14,7,38.13125472222223,-108.7264827777778,699265.0,699264.9860712601,4222820.009090872,b'12S',0,UTZ641,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/UTZ641.edi
1,1,13,15,6,38.23628361111111,-109.42257833333332,1709.0,638051.9882977293,4233208.022708423,b'12S',0,utz547,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/utz547.edi
2,2,14,16,8,38.24691111111111,-110.1044877777778,1932.0,578359.9887001461,4233590.003280347,b'12S',0,GBCP_LIM0404,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/GBCP_LIM0404.edi
3,3,15,17,11,38.34296638888889,-110.67148416666667,1370.0,528708.0044916389,4243920.024464873,b'12S',0,COP711,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/COP711.edi
4,4,16,18,5,38.43821361111111,-111.83164305555556,2564.0,427420.003389983,4254765.024568707,b'12S',0,GBCP_LIM0326,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/GBCP_LIM0326.edi
5,5,17,19,2,38.44414388888889,-111.14109861111113,1600.0,487687.0027149479,4255105.002020019,b'12S',0,COP702,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/COP702.edi
6,6,18,20,13,38.51164833333333,-112.3228102777778,2652.0,384670.01011752407,4263415.014994082,b'12S',0,GBCP_LIM0311,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/GBCP_LIM0311.edi
7,7,19,21,3,38.512866944444454,-113.58977333333333,1870.0,274200.015484705,4265900.02183175,b'12S',0,EGB718,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/EGB718.edi
8,8,20,22,4,38.553281666666656,-112.86533694444445,1677.0,337460.00228473323,4268855.0010734685,b'12S',0,GBCP_LIM7810,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/GBCP_LIM7810.edi
9,9,21,23,0,38.588541388888885,-114.40980472222223,1870.0,725599.9877384247,4274300.018989078,b'11S',0,EGB140,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/EGB140.edi
10,10,22,24,199,38.8247,-117.192,1765.0,483333.43039969506,4297341.154117519,b'11S',0,NVQ09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ09.2010.edi
11,11,23,25,67,38.82568888888889,-119.104525,1423.0,317310.3227987343,4299537.448347899,b'11S',0,NVQ07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ07.2011.edi
13,13,25,27,144,38.85333333333333,-114.03588055555555,1706.0,757222.0210153806,4304677.051517899,b'11S',0,UTQ13,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ13.2011.edi
14,14,26,28,139,38.85514722222222,-113.25197777777778,1416.0,304589.494159083,4303112.2008701,b'12S',0,UTQ14,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ14.2011.edi
15,15,27,29,51,38.86099722222223,-116.488375,2207.0,544389.1847983019,4301475.8310131235,b'11S',0,NVQ10,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ10.2011.edi
16,16,28,30,193,38.86887777777777,-111.70604444444444,2010.0,438749.3602852608,4302462.807085428,b'12S',0,UTQ16,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ16.2011.edi
18,18,30,32,93,38.88756944444445,-107.6531222222222,2174.0,269880.76351351896,4307646.333159085,b'13S',0,COQ21,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COQ21.2011.edi
19,19,31,33,30,38.88886944444445,-115.68788055555555,1624.0,613798.3704740463,4305262.565614613,b'11S',0,NVQ11,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ11.2011.edi
20,20,32,34,229,38.91609722222222,-118.19599722222223,1260.0,396312.6987436447,4308145.735202658,b'11S',0,NVQ08,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ08.2010.edi
22,22,34,36,37,38.932022222222216,-109.25913333333334,1278.0,650893.7679456553,4310673.825874007,b'12S',0,UTQ19,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ19.2011.edi
23,23,35,37,196,38.94307777777777,-112.55819722222222,1420.0,364961.3952522028,4311614.2128283465,b'12S',0,UTQ15,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ15.2011.edi
26,26,38,41,9,38.97839527777778,-113.3917327777778,1480.0,292820.0081645537,4317100.020731442,b'12S',0,EGB981,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/EGB981.edi
27,27,39,42,224,38.98636388888889,-114.96095555555556,1946.0,676606.1728086168,4317240.91485327,b'11S',0,NVQ12,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVQ12.2011.edi
28,28,40,43,10,38.99716388888889,-112.90609388888888,1605.0,334934.9952989816,4318190.005518118,b'12S',0,EGB992,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/EGB992.edi
29,29,41,44,237,39.00885277777777,-110.89623333333334,1732.0,508984.21884374757,4317764.107054822,b'12S',0,UTQ17,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ17.2011.edi
30,30,42,45,78,39.011408333333335,-108.34510277777777,1650.0,729872.5342343863,4321396.3523820685,b'12S',0,COQ20,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COQ20.2011.edi
31,31,43,46,94,39.01560833333333,-110.08226944444445,1313.0,579451.1482573893,4318909.250128369,b'12S',0,UTQ18,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTQ18.2011.edi
32,32,44,68,256,39.282,-108.15819444444445,1803.07,745117.2828928449,4351921.632221389,b'12S',0,rgr003,Denver,1,../../Desktop/MT Data/Database/Feutch et al/rgr003.edi
33,33,45,69,280,39.31225,-107.6235,2365.86,273812.64504212874,4354710.266686658,b'13S',0,rgr105,Denver,1,../../Desktop/MT Data/Database/Feutch et al/rgr105.edi
35,35,47,71,278,39.36375,-107.47213888888888,2579.23,287020.4829886379,4360058.730861177,b'13S',0,rgr006,Denver,1,../../Desktop/MT Data/Database/Feutch et al/rgr006.edi
38,38,50,74,276,39.41236111111111,-107.79855555555555,2368.63,259062.28781923754,4366275.855690938,b'13S',0,rgr104,Denver,1,../../Desktop/MT Data/Database/Feutch et al/rgr104.edi
43,43,55,79,158,39.46698611111111,-119.86625,1815.0,253426.15414844663,4372522.686068034,b'11S',0,NVP06,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVP06.2011.edi
44,44,56,80,146,39.474111111111114,-111.644225,1757.0,444589.40022000665,4369589.392506294,b'12S',0,UTP16,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTP16.2011.edi
46,46,58,82,20,39.50559444444445,-120.71899722222223,1892.0,696112.6336271246,4375369.473372085,b'10S',0,CAP05,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAP05.2010.edi
