index,latitude,longitude,station,project,include
12,38.9772,-100.220703,Q30A,TA,True
21,38.424301,-101.138298,R29A,TA,True
28,38.3237,-95.503998,R36A,TA,True
30,37.589901,-101.897903,S28A,TA,True
32,37.640202,-100.463997,S30A,TA,True
40,37.156502,-101.294197,T29A,TA,True
175,40.38981,-122.82036,caw214,EMSOC,True
176,39.65503,-119.36128,cax201,EMSOC,True
179,39.70458,-120.22486,cax204,EMSOC,True
185,39.46083,-122.00242,cax210,EMSOC,True
187,39.45642,-121.70175,cax212,EMSOC,True
252,42.63418,-123.88844,mu012,MOCHA,True
255,42.41034,-124.11456,mv011,MOCHA,True
262,42.19475,-123.0672,mw015,MOCHA,True
356,39.89835,-109.27462,cgb038,SoUt,True
357,38.44414,-111.1411,cop702,SoUt,True
358,38.34297,-110.67148,cop711,SoUt,True
359,38.58854,-114.4098,egb140,SoUt,True
360,38.51287,-113.58977,egb718,SoUt,True
362,38.99716,-112.90609,egb992,SoUt,True
364,38.43821,-111.83164,gbcp_lim0326,SoUt,True
365,38.24691,-110.10449,gbcp_lim0404,SoUt,True
367,38.23628,-109.42258,utz547,SoUt,True
368,38.13125,-108.72648,utz641,SoUt,True
381,41.87624,-124.19001,cam01,USArray,True
382,41.608,-123.403,cam02,USArray,True
383,41.491,-122.628,cam03,USArray,True
384,41.415,-121.833,cam04,USArray,True
385,41.412,-120.868,cam05,USArray,True
386,41.531,-120.021,cam06,USArray,True
387,41.462,-121.692,cam94,USArray,True
388,41.1683,-124.091,can01,USArray,True
389,40.8663,-123.449,can02,USArray,True
390,41.0269,-121.971,can03,USArray,True
393,40.7856,-120.109,can06,USArray,True
395,40.4668,-123.18,cao02,USArray,True
396,40.29342,-122.515,cao03,USArray,True
397,40.217,-121.523,cao04,USArray,True
398,40.247,-120.704,cao05,USArray,True
399,40.1042,-120.015,cao06,USArray,True
400,40.0364,-123.766,cap01,USArray,True
401,39.70298,-123.064,cap02,USArray,True
