,project,station,latitude,longitude
0,TA,Q30A,38.9772,-100.220703
1,TA,R29A,38.424301,-101.138298
2,TA,R36A,38.3237,-95.503998
3,TA,S28A,37.589901,-101.897903
4,TA,S30A,37.640202,-100.463997
5,TA,T29A,37.156502,-101.294197
6,EMSOC,caw214,40.38981,-122.82036
7,EMSOC,cax201,39.65503,-119.36128
8,EMSOC,cax204,39.70458,-120.22486
9,EMSOC,cax210,39.46083,-122.00242
10,EMSOC,cax212,39.45642,-121.70175
11,MOCHA,mu012,42.63418,-123.88844
12,MOCHA,mv011,42.41034,-124.11456
13,MOCHA,mw015,42.19475,-123.0672
14,SoUt,cgb038,39.89835,-109.27462
15,SoUt,cop702,38.44414,-111.1411
16,SoUt,cop711,38.34297,-110.67148
17,SoUt,egb140,38.58854,-114.4098
18,SoUt,egb718,38.51287,-113.58977
19,SoUt,egb992,38.99716,-112.90609
20,SoUt,gbcp_lim0326,38.43821,-111.83164
21,SoUt,gbcp_lim0404,38.24691,-110.10449
22,SoUt,utz547,38.23628,-109.42258
23,SoUt,utz641,38.13125,-108.72648
24,USArray,cam01,41.87624,-124.19001
25,USArray,cam02,41.608,-123.403
26,USArray,cam03,41.491,-122.628
27,USArray,cam04,41.415,-121.833
28,USArray,cam05,41.412,-120.868
29,USArray,cam06,41.531,-120.021
30,USArray,cam94,41.462,-121.692
31,USArray,can01,41.1683,-124.091
32,USArray,can02,40.8663,-123.449
33,USArray,can03,41.0269,-121.971
34,USArray,can06,40.7856,-120.109
35,USArray,cao02,40.4668,-123.18
36,USArray,cao03,40.29342,-122.515
37,USArray,cao04,40.217,-121.523
38,USArray,cao05,40.247,-120.704
39,USArray,cao06,40.1042,-120.015
40,USArray,cap01,40.0364,-123.766
41,USArray,cap02,39.70298,-123.064
42,USArray,cap03,39.6414,-122.352
43,USArray,cap04,39.5914,-121.332
44,USArray,cap05,39.50559,-120.719
45,USArray,caq01,39.35465,-123.719
46,USArray,caq02,38.92362,-122.868
47,USArray,caq03,38.9778,-122.245
48,USArray,caq04,38.9632,-121.346
49,USArray,caq05,38.88479,-120.577
50,USArray,caq06,38.8258,-119.793
51,USArray,con20,40.86178,-108.15888
